[LOG] 2017-10-17 16:13:39 Log File Open SUCCESS
[SELL_PRICE] 2017-10-17 16:14:13 AFTER 
[SELL_PRICE] 2017-10-17 17:25:08 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 17:25:15 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 17:25:21 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 17:25:27 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 17:25:33 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 17:32:23 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 17:32:33 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 17:32:39 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 17:34:43 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 17:34:46 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 17:35:29 AFTER 
[SELL_PRICE] 2017-10-17 17:41:23 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:24:57 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:25:01 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:27:47 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:28:11 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:28:18 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:28:25 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:28:30 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:28:36 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:30:21 AFTER 
[SELL_PRICE] 2017-10-17 18:31:06 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:31:11 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:31:17 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:31:22 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:31:31 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:32:13 AFTER SUCCESS
[SELL_PRICE] 2017-10-17 18:32:17 AFTER SUCCESS
