[LOG] 2017-10-18 11:28:30 Log File Open SUCCESS
[SELL_PRICE] 2017-10-18 11:29:04 PLY 
[SELL_PRICE] 2017-10-18 11:30:54 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:32:38 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:32:59 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:33:21 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:33:42 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:34:03 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:34:26 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:34:48 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:35:11 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:35:33 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:35:56 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:36:20 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:36:43 PLY SUCCESS
[SELL_PRICE] 2017-10-18 11:37:07 PLY SUCCESS
