[LOG] 2022-07-05 0:00:02 mkdir SUCCESS
[SELL_PRICE] 2022-07-05 11:04:20 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:04:25 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:04:31 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:43:02 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:43:07 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:45:10 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:45:15 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:45:20 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:46:56 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:47:01 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:47:06 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:47:11 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:48:50 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:48:55 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:49:00 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:53:15 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:53:20 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:53:25 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:53:30 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:53:36 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:53:41 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:54:58 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:55:03 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:55:09 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 11:58:50 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 12:06:17 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 12:06:22 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 13:15:55 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 13:16:01 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 13:16:06 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 13:16:11 AFTER SUCCESS
[SELL_PRICE] 2022-07-05 13:31:11 AFTER SUCCESS
