Ä«Å×°í¸®¸í,Ä«Å×°í¸® ºÐ·ùÄÚµå,Á¾ÀÌ ºÐ·ùÄÚµå,»çÀÌÁî ºÐ·ùÄÚµå,µµ¼ö ºÐ·ùÄÚµå,¼ö·®,°¡°Ý,ºñ°í
È¦´õ,001004001,154,148,74,500,0,3.0¾øÀ½
È¦´õ,001004001,154,148,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,148,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,149,73,500,0,3.0¾øÀ½
È¦´õ,001004001,154,149,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,149,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,149,74,500,0,3.0¾øÀ½
È¦´õ,001004001,154,149,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,149,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,150,73,500,0,3.0¾øÀ½
È¦´õ,001004001,154,150,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,150,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,150,74,500,0,3.0¾øÀ½
È¦´õ,001004001,154,150,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,150,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,151,73,500,0,3.0¾øÀ½
È¦´õ,001004001,154,151,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,151,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,151,74,500,0,3.0¾øÀ½
È¦´õ,001004001,154,151,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,151,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,152,73,500,0,3.0¾øÀ½
È¦´õ,001004001,154,152,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,152,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,152,74,500,0,3.0¾øÀ½
È¦´õ,001004001,154,152,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,152,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,153,73,500,0,3.0¾øÀ½
È¦´õ,001004001,154,153,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,153,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,153,74,500,0,3.0¾øÀ½
È¦´õ,001004001,154,153,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,153,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,154,73,500,0,3.0¾øÀ½
È¦´õ,001004001,154,154,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,154,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,154,74,500,0,3.0¾øÀ½
È¦´õ,001004001,154,154,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,154,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,155,73,500,0,3.0¾øÀ½
È¦´õ,001004001,154,155,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,155,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,155,74,500,0,3.0¾øÀ½
È¦´õ,001004001,154,155,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,155,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,156,73,500,0,3.0¾øÀ½
È¦´õ,001004001,154,156,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,156,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,154,156,74,500,0,3.0¾øÀ½
È¦´õ,001004001,154,156,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,154,156,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,147,73,500,0,3.0¾øÀ½
È¦´õ,001004001,155,147,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,147,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,147,74,500,0,3.0¾øÀ½
È¦´õ,001004001,155,147,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,147,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,148,73,500,0,3.0¾øÀ½
È¦´õ,001004001,155,148,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,148,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,148,74,500,0,3.0¾øÀ½
È¦´õ,001004001,155,148,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,148,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,149,73,500,0,3.0¾øÀ½
È¦´õ,001004001,155,149,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,149,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,149,74,500,0,3.0¾øÀ½
È¦´õ,001004001,155,149,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,149,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,150,73,500,0,3.0¾øÀ½
È¦´õ,001004001,155,150,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,150,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,150,74,500,0,3.0¾øÀ½
È¦´õ,001004001,155,150,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,150,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,151,73,500,0,3.0¾øÀ½
È¦´õ,001004001,155,151,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,151,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,151,74,500,0,3.0¾øÀ½
È¦´õ,001004001,155,151,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,151,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,152,73,500,0,3.0¾øÀ½
È¦´õ,001004001,155,152,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,152,73,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,152,74,500,0,3.0¾øÀ½
È¦´õ,001004001,155,152,74,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,152,74,2000,0,3.0¾øÀ½
È¦´õ,001004001,155,153,73,500,0,3.0¾øÀ½
È¦´õ,001004001,155,153,73,1000,0,3.0¾øÀ½
È¦´õ,001004001,155,153,73,2000,0,3.0¾øÀ½
