제품,종이,사이즈,도수,Pro_id
각대봉투,파일지 황색 120g,330*245(5절 화일지),단면1도,E22FID120EM20S0
각대봉투,파일지 황색 120g,330*245(5절 화일지),단면2도,E22FID120EM20D0
각대봉투,크라프트 갈색 100g,385*290(4절),단면1도,E22CFX120EM60S0
각대봉투,크라프트 갈색 100g,385*290(4절),단면2도,E22CFX120EM60D0
각대봉투,크라프트 갈색 100g,330*245(5절),단면1도,E22CFX120EM70S0
각대봉투,크라프트 갈색 100g,330*245(5절),단면2도,E22CFX120EM70D0
각대봉투,크라프트 갈색 100g,305*215(6절),단면1도,E22CFX120EM80S0
각대봉투,크라프트 갈색 100g,305*215(6절),단면2도,E22CFX120EM80D0
각대봉투,크라프트 갈색 100g,260*190(9절),단면1도,E22CFX120EM90S0
각대봉투,크라프트 갈색 100g,260*190(9절),단면2도,E22CFX120EM90D0
각대봉투,크라프트 갈색 100g,300*140(10절),단면1도,E22CFX120EMA0S0
각대봉투,크라프트 갈색 100g,300*140(10절),단면2도,E22CFX120EMA0D0
각대봉투,크라프트 갈색 100g,260*140(12절),단면1도,E22CFX120EMB0S0
각대봉투,크라프트 갈색 100g,260*140(12절),단면2도,E22CFX120EMB0D0
각대봉투,모조지 백색 120g,330*245(5절),단면1도,E22MOB120EMC0S0
각대봉투,모조지 백색 120g,330*245(5절),단면2도,E22MOB120EMC0D0
