제품,종이,사이즈,도수,Pro_id
신규격(16절규격),모조지 백색 80g,205*100(신규격),단면1도,E23MOB080EMD0S0
신규격(16절규격),모조지 백색 80g,205*100(신규격),단면2도,E23MOB080EMD0D0
신규격(16절규격),모조지 백색 100g,205*100(신규격),단면1도,E23MOB100EMD0S0
신규격(16절규격),모조지 백색 100g,205*100(신규격),단면2도,E23MOB100EMD0D0
신규격(16절규격),모조지 백색 100g,205*100(이중규격),단면1도,E23MOB100EME0S0
신규격(16절규격),모조지 백색 100g,205*100(이중규격),단면2도,E23MOB100EME0D0
신규격(16절규격),색모조 하늘 70g,205*100(색모조규격),단면1도,E23MCA070EMF0S0
신규격(16절규격),색모조 하늘 70g,205*100(색모조규격),단면2도,E23MCA070EMF0D0
신규격(16절규격),색모조 분홍 70g,205*100(색모조규격),단면1도,E23MCF070EMF0S0
신규격(16절규격),색모조 분홍 70g,205*100(색모조규격),단면2도,E23MCF070EMF0D0
신규격(16절규격),색모조 녹색 70g,205*100(색모조규격),단면1도,E23MCG070EMF0S0
신규격(16절규격),색모조 녹색 70g,205*100(색모조규격),단면2도,E23MCG070EMF0D0
신규격(16절규격),색모조 노랑 70g,205*100(색모조규격),단면1도,E23MCY070EMF0S0
신규격(16절규격),색모조 노랑 70g,205*100(색모조규격),단면2도,E23MCY070EMF0D0
신규격(16절규격),모조지 백색 100g,235*105(신항공규격),단면1도,E23MOB100EMG0S0
신규격(16절규격),모조지 백색 100g,235*105(신항공규격),단면2도,E23MOB100EMG0D0
