제품,종이,사이즈,도수,Pro_id
사각봉투,레자크 #64 백색 100g,220*105(A4 다대소봉투),단면1도,E24L1B100EMH0S0
사각봉투,레자크 #64 백색 100g,220*105(A4 다대소봉투),단면2도,E24L1B100EMH0D0
사각봉투,레자크 #64 백색 100g,220*105(A4 다대소봉투),양면2도,E24L1B100EMH0D0
사각봉투,레자크 #92(줄) 백색 100g,220*105(A4 다대소봉투),단면1도,E24L5B100EMH0S0
사각봉투,레자크 #92(줄) 백색 100g,220*105(A4 다대소봉투),단면2도,E24L5B100EMH0D0
사각봉투,레자크 #92(줄) 백색 100g,220*105(A4 다대소봉투),양면2도,E24L5B100EMH0D0
사각봉투,모조지 백색 100g,220*105(A4 다대소봉투),단면1도,E24MOB100EMH0S0
사각봉투,모조지 백색 100g,220*105(A4 다대소봉투),단면2도,E24MOB100EMH0D0
사각봉투,모조지 백색 100g,220*105(A4 다대소봉투),양면2도,E24MOB100EMH0D0
사각봉투,레자크 #64 백색 100g,220*105(A4 자켓소봉투),단면1도,E24L1B100EMH0S0
사각봉투,레자크 #64 백색 100g,220*105(A4 자켓소봉투),단면2도,E24L1B100EMH0D0
사각봉투,레자크 #64 백색 100g,220*105(A4 자켓소봉투),양면2도,E24L1B100EMH0D0
사각봉투,레자크 #92(줄) 백색 100g,220*105(A4 자켓소봉투),단면1도,E24L5B100EMH0S0
사각봉투,레자크 #92(줄) 백색 100g,220*105(A4 자켓소봉투),단면2도,E24L5B100EMH0D0
사각봉투,레자크 #92(줄) 백색 100g,220*105(A4 자켓소봉투),양면2도,E24L5B100EMH0D0
사각봉투,모조지 백색 100g,220*105(A4 자켓소봉투),단면1도,E24MOB100EMH0S0
사각봉투,모조지 백색 100g,220*105(A4 자켓소봉투),단면2도,E24MOB100EMH0D0
사각봉투,모조지 백색 100g,220*105(A4 자켓소봉투),양면2도,E24MOB100EMH0D0
사각봉투,크라프트 갈색 120g,220*105(A4 다대소봉투),단면1도,E24CFX120EMI0S0
사각봉투,크라프트 갈색 120g,220*105(A4 다대소봉투),단면2도,E24CFX120EMI0D0
사각봉투,크라프트 갈색 120g,220*105(A4 다대소봉투),양면2도,E24CFX120EMI0D0
사각봉투,크라프트 갈색 120g,220*105(A4 자켓소봉투),단면1도,E24CFX120EMI0S0
사각봉투,크라프트 갈색 120g,220*105(A4 자켓소봉투),단면2도,E24CFX120EMI0D0
사각봉투,크라프트 갈색 120g,220*105(A4 자켓소봉투),양면2도,E24CFX120EMI0D0
