카테고리명,카테고리 분류코드,종이 분류코드,사이즈 분류코드,도수 분류코드,수량,가격,비고
신규격(16절규격),006002003,0,0,0,0,0,종이 안 맞음
신규격(16절규격),006002003,,,144,,0,3.0수량없음
신규격(16절규격),006002003,0,0,0,0,0,종이 안 맞음
신규격(16절규격),006002003,,,145,,0,3.0수량없음
신규격(16절규격),006002003,0,0,0,0,0,종이 안 맞음
신규격(16절규격),006002003,,,144,,0,3.0수량없음
신규격(16절규격),006002003,0,0,0,0,0,종이 안 맞음
신규격(16절규격),006002003,,,145,,0,3.0수량없음
신규격(16절규격),006002003,0,0,0,0,0,종이 안 맞음
신규격(16절규격),006002003,,,144,,0,3.0수량없음
신규격(16절규격),006002003,0,0,0,0,0,종이 안 맞음
신규격(16절규격),006002003,,,145,,0,3.0수량없음
신규격(16절규격),006002003,0,0,0,0,0,종이 안 맞음
신규격(16절규격),006002003,,,144,,0,3.0수량없음
신규격(16절규격),006002003,0,0,0,0,0,종이 안 맞음
신규격(16절규격),006002003,,,145,,0,3.0수량없음
