카테고리명,카테고리 분류코드,종이 분류코드,사이즈 분류코드,도수 분류코드,수량,가격,비고
무코팅명함,003001002,157,158,88,350000,0,2.0없음
무코팅명함,003001002,157,158,88,400000,0,2.0없음
무코팅명함,003001002,157,158,88,450000,0,2.0없음
무코팅명함,003001002,157,158,88,500000,0,2.0없음
무코팅명함,003001002,157,158,89,350000,0,2.0없음
무코팅명함,003001002,157,158,89,400000,0,2.0없음
무코팅명함,003001002,157,158,89,450000,0,2.0없음
무코팅명함,003001002,157,158,89,500000,0,2.0없음
무코팅명함,003001002,157,158,90,350000,0,2.0없음
무코팅명함,003001002,157,158,90,400000,0,2.0없음
무코팅명함,003001002,157,158,90,450000,0,2.0없음
무코팅명함,003001002,157,158,90,500000,0,2.0없음
