카테고리명,카테고리 분류코드,종이 분류코드,사이즈 분류코드,도수 분류코드,수량,가격,비고
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
,,0,0,0,0,0,종이 안 맞음
,,,,,,0,3.0수량없음
